 Area 7.Cogeneration Plant.GEN7003 Cogeneration Plant No 3 Co-Gen.Variables.HMI Indication - Actual Power  Raw Historic			
Time/Date	Value		
02/01/2020 02:10:00	1018.46		
02/01/2020 02:10:54	1013.63		
02/01/2020 02:10:56	1010.29		
02/01/2020 02:11:08	1017.34		
02/01/2020 02:11:10	1020.31		
02/01/2020 02:11:18	1014.00		
02/01/2020 02:11:20	1009.91		
02/01/2020 02:11:42	1014.00		
02/01/2020 02:11:44	1019.94		
02/01/2020 02:13:54	1013.63		
02/01/2020 02:13:56	1008.80		
02/01/2020 02:13:58	1017.34		
02/01/2020 02:14:10	1013.63		
02/01/2020 02:14:12	1008.43		
02/01/2020 02:14:14	1012.89		
02/01/2020 02:14:16	1017.34		
02/01/2020 02:15:26	1012.89		
02/01/2020 02:15:28	1007.31		
02/01/2020 02:15:34	1014.00		
02/01/2020 02:15:36	1016.60		
02/01/2020 02:18:24	1013.63		
02/01/2020 02:18:26	1008.06		
02/01/2020 02:18:32	1013.63		
02/01/2020 02:18:34	1017.71		
02/01/2020 02:21:44	1013.63		
02/01/2020 02:21:46	1009.17		
02/01/2020 02:22:12	1014.00		
02/01/2020 02:22:14	1017.34		
02/01/2020 02:23:14	1013.63		
02/01/2020 02:23:16	1009.17		
02/01/2020 02:23:26	1015.49		
02/01/2020 02:23:28	1019.94		
02/01/2020 02:29:44	1014.00		
02/01/2020 02:29:46	1010.29		
02/01/2020 02:29:50	1012.51		
02/01/2020 02:29:52	1019.20		
02/01/2020 02:31:42	1012.51		
02/01/2020 02:31:44	1010.29		
02/01/2020 02:32:22	1018.09		
02/01/2020 02:32:24	1019.57		
02/01/2020 02:32:52	1012.89		
02/01/2020 02:32:54	1007.31		
02/01/2020 02:33:10	1013.63		
02/01/2020 02:33:12	1019.20		
02/01/2020 02:34:54	1013.63		
02/01/2020 02:34:56	1007.31		
02/01/2020 02:35:10	1014.00		
02/01/2020 02:35:12	1015.86		
02/01/2020 02:38:50	1012.51		
02/01/2020 02:38:52	1007.31		
02/01/2020 02:38:56	1013.63		
02/01/2020 02:38:58	1018.09		
02/01/2020 02:42:38	1014.00		
02/01/2020 02:42:40	1009.91		
02/01/2020 02:43:26	1013.63		
02/01/2020 02:43:28	1019.94		
02/01/2020 02:44:12	1012.14		
02/01/2020 02:44:14	1011.77		
02/01/2020 02:44:20	1013.63		
02/01/2020 02:44:22	1019.94		
02/01/2020 02:45:20	1014.00		
02/01/2020 02:45:22	1008.06		
02/01/2020 02:45:26	1012.14		
02/01/2020 02:45:28	1017.34		
02/01/2020 02:50:34	1013.63		
02/01/2020 02:50:36	1009.17		
02/01/2020 02:51:16	1015.86		
02/01/2020 02:51:18	1017.71		
02/01/2020 02:51:52	1012.14		
02/01/2020 02:51:54	1008.80		
02/01/2020 02:53:04	1016.23		
02/01/2020 02:53:06	1017.71		
02/01/2020 02:56:50	1013.63		
02/01/2020 02:56:52	1009.17		
02/01/2020 02:57:06	1013.63		
02/01/2020 02:57:08	1017.34		
02/01/2020 03:00:10	1012.89		
02/01/2020 03:00:12	1009.17		
02/01/2020 03:00:30	1014.74		
02/01/2020 03:00:32	1019.94		
02/01/2020 03:01:14	1013.63		
02/01/2020 03:01:16	1010.66		
02/01/2020 03:01:34	1017.71		
02/01/2020 03:01:36	1019.20		
02/01/2020 03:01:38	1013.63		
02/01/2020 03:01:40	1009.91		
02/01/2020 03:01:56	1013.63		
02/01/2020 03:01:58	1019.20		
02/01/2020 03:04:16	1013.63		
02/01/2020 03:04:18	1010.66		
02/01/2020 03:06:00	1016.23		
02/01/2020 03:06:02	1019.57		
02/01/2020 03:07:42	1011.77		
02/01/2020 03:07:44	1008.80		
02/01/2020 03:08:08	1014.00		
02/01/2020 03:08:10	1019.20		
02/01/2020 03:08:54	1013.63		
02/01/2020 03:08:56	1010.66		
02/01/2020 03:09:06	1009.17		
02/01/2020 03:09:08	1019.57		
02/01/2020 03:09:14	1012.51		
02/01/2020 03:09:16	1010.29		
02/01/2020 03:09:50	1014.37		
02/01/2020 03:09:52	1019.94		
02/01/2020 03:10:08	1013.63		
02/01/2020 03:10:10	1009.91		
02/01/2020 03:10:26	1014.37		
02/01/2020 03:10:45	1019.57		
02/01/2020 03:13:15	1017.34		
02/01/2020 03:13:45	1008.80		
02/01/2020 03:14:15	1013.63		
02/01/2020 03:14:45	1019.94		
02/01/2020 03:26:45	1015.49		
02/01/2020 03:27:15	1011.77		
02/01/2020 03:31:45	1014.00		
02/01/2020 03:32:15	1019.94		
02/01/2020 03:47:15	1012.14		
02/01/2020 03:47:45	1008.43		
02/01/2020 03:48:45	1013.63		
02/01/2020 03:49:15	1017.34		
02/01/2020 03:49:45	1013.63		
02/01/2020 03:50:15	1006.94		
02/01/2020 03:57:45	1013.63		
02/01/2020 03:58:15	1016.23		
02/01/2020 04:09:15	1010.29		
02/01/2020 04:09:45	1008.06		
02/01/2020 04:19:15	1007.31		
02/01/2020 04:19:45	1018.46		
02/01/2020 04:20:45	1011.77		
02/01/2020 04:21:15	1008.43		
02/01/2020 04:39:15	1013.63		
02/01/2020 04:39:45	1016.60		
02/01/2020 04:41:15	1011.03		
02/01/2020 04:41:45	1008.43		
02/01/2020 05:30:46	1009.17		
02/01/2020 05:30:48	1016.60		
02/01/2020 05:30:56	1008.80		
02/01/2020 05:30:58	1006.94		
02/01/2020 05:39:14	1014.37		
02/01/2020 05:39:16	1016.23		
02/01/2020 05:39:24	1012.51		
02/01/2020 05:39:26	1006.94		
02/01/2020 05:41:26	1013.63		
02/01/2020 05:41:28	1017.34		
02/01/2020 05:41:44	1012.51		
02/01/2020 05:41:46	1005.46		
02/01/2020 05:42:26	1010.29		
02/01/2020 05:42:28	1013.63		
02/01/2020 05:51:58	1007.31		
02/01/2020 05:52:00	1005.46		
02/01/2020 05:52:12	1006.94		
02/01/2020 05:52:14	1013.63		
02/01/2020 05:53:22	1006.20		
02/01/2020 05:53:24	1005.46		
02/01/2020 05:54:00	1012.51		
02/01/2020 05:54:02	1013.63		
02/01/2020 05:56:26	1012.89		
02/01/2020 05:56:28	1005.46		
02/01/2020 05:56:40	1012.89		
02/01/2020 05:56:42	1013.63		
02/01/2020 06:00:15	1006.94		
02/01/2020 06:00:45	1004.34		
02/01/2020 06:03:45	1006.94		
